PassengerId,Pclass,Gender - Val,Age - Missing Values,SibSp,Parch,Fare,Survived
1,3,0,22,1,0,7.25,0
2,1,1,38,1,0,71.2833,1
3,3,1,26,0,0,7.925,1
4,1,1,35,1,0,53.1,1
5,3,0,35,0,0,8.05,0
6,3,0,29.7,0,0,8.4583,0
7,1,0,54,0,0,51.8625,0
8,3,0,2,3,1,21.075,0
9,3,1,27,0,2,11.1333,1
10,2,1,14,1,0,30.0708,1
11,3,1,4,1,1,16.7,1
12,1,1,58,0,0,26.55,1
13,3,0,20,0,0,8.05,0
14,3,0,39,1,5,31.275,0
15,3,1,14,0,0,7.8542,0
16,2,1,55,0,0,16,1
17,3,0,2,4,1,29.125,0
18,2,0,29.7,0,0,13,1
19,3,1,31,1,0,18,0
20,3,1,29.7,0,0,7.225,1
21,2,0,35,0,0,26,0
22,2,0,34,0,0,13,1
23,3,1,15,0,0,8.0292,1
24,1,0,28,0,0,35.5,1
25,3,1,8,3,1,21.075,0
26,3,1,38,1,5,31.3875,1
27,3,0,29.7,0,0,7.225,0
28,1,0,19,3,2,263,0
29,3,1,29.7,0,0,7.8792,1
30,3,0,29.7,0,0,7.8958,0
31,1,0,40,0,0,27.7208,0
32,1,1,29.7,1,0,146.5208,1
33,3,1,29.7,0,0,7.75,1
34,2,0,66,0,0,10.5,0
35,1,0,28,1,0,82.1708,0
36,1,0,42,1,0,52,0
37,3,0,29.7,0,0,7.2292,1
38,3,0,21,0,0,8.05,0
39,3,1,18,2,0,18,0
40,3,1,14,1,0,11.2417,1
41,3,1,40,1,0,9.475,0
42,2,1,27,1,0,21,0
43,3,0,29.7,0,0,7.8958,0
44,2,1,3,1,2,41.5792,1
45,3,1,19,0,0,7.8792,1
46,3,0,29.7,0,0,8.05,0
47,3,0,29.7,1,0,15.5,0
48,3,1,29.7,0,0,7.75,1
49,3,0,29.7,2,0,21.6792,0
50,3,1,18,1,0,17.8,0
51,3,0,7,4,1,39.6875,0
52,3,0,21,0,0,7.8,0
53,1,1,49,1,0,76.7292,1
54,2,1,29,1,0,26,1
55,1,0,65,0,1,61.9792,0
56,1,0,29.7,0,0,35.5,1
57,2,1,21,0,0,10.5,1
58,3,0,28.5,0,0,7.2292,0
59,2,1,5,1,2,27.75,1
60,3,0,11,5,2,46.9,0
61,3,0,22,0,0,7.2292,0
62,1,1,38,0,0,80,1
63,1,0,45,1,0,83.475,0
64,3,0,4,3,2,27.9,0
65,1,0,29.7,0,0,27.7208,0
66,3,0,29.7,1,1,15.2458,1
67,2,1,29,0,0,10.5,1
68,3,0,19,0,0,8.1583,0
69,3,1,17,4,2,7.925,1
70,3,0,26,2,0,8.6625,0
71,2,0,32,0,0,10.5,0
72,3,1,16,5,2,46.9,0
73,2,0,21,0,0,73.5,0
74,3,0,26,1,0,14.4542,0
75,3,0,32,0,0,56.4958,1
76,3,0,25,0,0,7.65,0
77,3,0,29.7,0,0,7.8958,0
78,3,0,29.7,0,0,8.05,0
79,2,0,0.83,0,2,29,1
80,3,1,30,0,0,12.475,1
81,3,0,22,0,0,9,0
82,3,0,29,0,0,9.5,1
83,3,1,29.7,0,0,7.7875,1
84,1,0,28,0,0,47.1,0
85,2,1,17,0,0,10.5,1
86,3,1,33,3,0,15.85,1
87,3,0,16,1,3,34.375,0
88,3,0,29.7,0,0,8.05,0
89,1,1,23,3,2,263,1
90,3,0,24,0,0,8.05,0
91,3,0,29,0,0,8.05,0
92,3,0,20,0,0,7.8542,0
93,1,0,46,1,0,61.175,0
94,3,0,26,1,2,20.575,0
95,3,0,59,0,0,7.25,0
96,3,0,29.7,0,0,8.05,0
97,1,0,71,0,0,34.6542,0
98,1,0,23,0,1,63.3583,1
99,2,1,34,0,1,23,1
100,2,0,34,1,0,26,0
101,3,1,28,0,0,7.8958,0
102,3,0,29.7,0,0,7.8958,0
103,1,0,21,0,1,77.2875,0
104,3,0,33,0,0,8.6542,0
105,3,0,37,2,0,7.925,0
106,3,0,28,0,0,7.8958,0
107,3,1,21,0,0,7.65,1
108,3,0,29.7,0,0,7.775,1
109,3,0,38,0,0,7.8958,0
110,3,1,29.7,1,0,24.15,1
111,1,0,47,0,0,52,0
112,3,1,14.5,1,0,14.4542,0
113,3,0,22,0,0,8.05,0
114,3,1,20,1,0,9.825,0
115,3,1,17,0,0,14.4583,0
116,3,0,21,0,0,7.925,0
117,3,0,70.5,0,0,7.75,0
118,2,0,29,1,0,21,0
119,1,0,24,0,1,247.5208,0
120,3,1,2,4,2,31.275,0
121,2,0,21,2,0,73.5,0
122,3,0,29.7,0,0,8.05,0
123,2,0,32.5,1,0,30.0708,0
124,2,1,32.5,0,0,13,1
125,1,0,54,0,1,77.2875,0
126,3,0,12,1,0,11.2417,1
127,3,0,29.7,0,0,7.75,0
128,3,0,24,0,0,7.1417,1
129,3,1,29.7,1,1,22.3583,1
130,3,0,45,0,0,6.975,0
131,3,0,33,0,0,7.8958,0
132,3,0,20,0,0,7.05,0
133,3,1,47,1,0,14.5,0
134,2,1,29,1,0,26,1
135,2,0,25,0,0,13,0
136,2,0,23,0,0,15.0458,0
137,1,1,19,0,2,26.2833,1
138,1,0,37,1,0,53.1,0
139,3,0,16,0,0,9.2167,0
140,1,0,24,0,0,79.2,0
141,3,1,29.7,0,2,15.2458,0
142,3,1,22,0,0,7.75,1
143,3,1,24,1,0,15.85,1
144,3,0,19,0,0,6.75,0
145,2,0,18,0,0,11.5,0
146,2,0,19,1,1,36.75,0
147,3,0,27,0,0,7.7958,1
148,3,1,9,2,2,34.375,0
149,2,0,36.5,0,2,26,0
150,2,0,42,0,0,13,0
151,2,0,51,0,0,12.525,0
152,1,1,22,1,0,66.6,1
153,3,0,55.5,0,0,8.05,0
154,3,0,40.5,0,2,14.5,0
155,3,0,29.7,0,0,7.3125,0
156,1,0,51,0,1,61.3792,0
157,3,1,16,0,0,7.7333,1
158,3,0,30,0,0,8.05,0
159,3,0,29.7,0,0,8.6625,0
160,3,0,29.7,8,2,69.55,0
161,3,0,44,0,1,16.1,0
162,2,1,40,0,0,15.75,1
163,3,0,26,0,0,7.775,0
164,3,0,17,0,0,8.6625,0
165,3,0,1,4,1,39.6875,0
166,3,0,9,0,2,20.525,1
167,1,1,29.7,0,1,55,1
168,3,1,45,1,4,27.9,0
169,1,0,29.7,0,0,25.925,0
170,3,0,28,0,0,56.4958,0
171,1,0,61,0,0,33.5,0
172,3,0,4,4,1,29.125,0
173,3,1,1,1,1,11.1333,1
174,3,0,21,0,0,7.925,0
175,1,0,56,0,0,30.6958,0
176,3,0,18,1,1,7.8542,0
177,3,0,29.7,3,1,25.4667,0
178,1,1,50,0,0,28.7125,0
179,2,0,30,0,0,13,0
180,3,0,36,0,0,0,0
181,3,1,29.7,8,2,69.55,0
182,2,0,29.7,0,0,15.05,0
183,3,0,9,4,2,31.3875,0
184,2,0,1,2,1,39,1
185,3,1,4,0,2,22.025,1
186,1,0,29.7,0,0,50,0
187,3,1,29.7,1,0,15.5,1
188,1,0,45,0,0,26.55,1
189,3,0,40,1,1,15.5,0
190,3,0,36,0,0,7.8958,0
191,2,1,32,0,0,13,1
192,2,0,19,0,0,13,0
193,3,1,19,1,0,7.8542,1
194,2,0,3,1,1,26,1
195,1,1,44,0,0,27.7208,1
196,1,1,58,0,0,146.5208,1
197,3,0,29.7,0,0,7.75,0
198,3,0,42,0,1,8.4042,0
199,3,1,29.7,0,0,7.75,1
200,2,1,24,0,0,13,0
201,3,0,28,0,0,9.5,0
202,3,0,29.7,8,2,69.55,0
203,3,0,34,0,0,6.4958,0
204,3,0,45.5,0,0,7.225,0
205,3,0,18,0,0,8.05,1
206,3,1,2,0,1,10.4625,0
207,3,0,32,1,0,15.85,0
208,3,0,26,0,0,18.7875,1
209,3,1,16,0,0,7.75,1
210,1,0,40,0,0,31,1
211,3,0,24,0,0,7.05,0
212,2,1,35,0,0,21,1
213,3,0,22,0,0,7.25,0
214,2,0,30,0,0,13,0
215,3,0,29.7,1,0,7.75,0
216,1,1,31,1,0,113.275,1
217,3,1,27,0,0,7.925,1
218,2,0,42,1,0,27,0
219,1,1,32,0,0,76.2917,1
220,2,0,30,0,0,10.5,0
221,3,0,16,0,0,8.05,1
222,2,0,27,0,0,13,0
223,3,0,51,0,0,8.05,0
224,3,0,29.7,0,0,7.8958,0
225,1,0,38,1,0,90,1
226,3,0,22,0,0,9.35,0
227,2,0,19,0,0,10.5,1
228,3,0,20.5,0,0,7.25,0
229,2,0,18,0,0,13,0
230,3,1,29.7,3,1,25.4667,0
231,1,1,35,1,0,83.475,1
232,3,0,29,0,0,7.775,0
233,2,0,59,0,0,13.5,0
234,3,1,5,4,2,31.3875,1
235,2,0,24,0,0,10.5,0
236,3,1,29.7,0,0,7.55,0
237,2,0,44,1,0,26,0
238,2,1,8,0,2,26.25,1
239,2,0,19,0,0,10.5,0
240,2,0,33,0,0,12.275,0
241,3,1,29.7,1,0,14.4542,0
242,3,1,29.7,1,0,15.5,1
243,2,0,29,0,0,10.5,0
244,3,0,22,0,0,7.125,0
245,3,0,30,0,0,7.225,0
246,1,0,44,2,0,90,0
247,3,1,25,0,0,7.775,0
248,2,1,24,0,2,14.5,1
249,1,0,37,1,1,52.5542,1
250,2,0,54,1,0,26,0
251,3,0,29.7,0,0,7.25,0
252,3,1,29,1,1,10.4625,0
253,1,0,62,0,0,26.55,0
254,3,0,30,1,0,16.1,0
255,3,1,41,0,2,20.2125,0
256,3,1,29,0,2,15.2458,1
257,1,1,29.7,0,0,79.2,1
258,1,1,30,0,0,86.5,1
259,1,1,35,0,0,512.3292,1
260,2,1,50,0,1,26,1
261,3,0,29.7,0,0,7.75,0
262,3,0,3,4,2,31.3875,1
263,1,0,52,1,1,79.65,0
264,1,0,40,0,0,0,0
265,3,1,29.7,0,0,7.75,0
266,2,0,36,0,0,10.5,0
267,3,0,16,4,1,39.6875,0
268,3,0,25,1,0,7.775,1
269,1,1,58,0,1,153.4625,1
270,1,1,35,0,0,135.6333,1
271,1,0,29.7,0,0,31,0
272,3,0,25,0,0,0,1
273,2,1,41,0,1,19.5,1
274,1,0,37,0,1,29.7,0
275,3,1,29.7,0,0,7.75,1
276,1,1,63,1,0,77.9583,1
277,3,1,45,0,0,7.75,0
278,2,0,29.7,0,0,0,0
279,3,0,7,4,1,29.125,0
280,3,1,35,1,1,20.25,1
281,3,0,65,0,0,7.75,0
282,3,0,28,0,0,7.8542,0
283,3,0,16,0,0,9.5,0
284,3,0,19,0,0,8.05,1
285,1,0,29.7,0,0,26,0
286,3,0,33,0,0,8.6625,0
287,3,0,30,0,0,9.5,1
288,3,0,22,0,0,7.8958,0
289,2,0,42,0,0,13,1
290,3,1,22,0,0,7.75,1
291,1,1,26,0,0,78.85,1
292,1,1,19,1,0,91.0792,1
293,2,0,36,0,0,12.875,0
294,3,1,24,0,0,8.85,0
295,3,0,24,0,0,7.8958,0
296,1,0,29.7,0,0,27.7208,0
297,3,0,23.5,0,0,7.2292,0
298,1,1,2,1,2,151.55,0
299,1,0,29.7,0,0,30.5,1
300,1,1,50,0,1,247.5208,1
301,3,1,29.7,0,0,7.75,1
302,3,0,29.7,2,0,23.25,1
303,3,0,19,0,0,0,0
304,2,1,29.7,0,0,12.35,1
305,3,0,29.7,0,0,8.05,0
306,1,0,0.92,1,2,151.55,1
307,1,1,29.7,0,0,110.8833,1
308,1,1,17,1,0,108.9,1
309,2,0,30,1,0,24,0
310,1,1,30,0,0,56.9292,1
311,1,1,24,0,0,83.1583,1
312,1,1,18,2,2,262.375,1
313,2,1,26,1,1,26,0
314,3,0,28,0,0,7.8958,0
315,2,0,43,1,1,26.25,0
316,3,1,26,0,0,7.8542,1
317,2,1,24,1,0,26,1
318,2,0,54,0,0,14,0
319,1,1,31,0,2,164.8667,1
320,1,1,40,1,1,134.5,1
321,3,0,22,0,0,7.25,0
322,3,0,27,0,0,7.8958,0
323,2,1,30,0,0,12.35,1
324,2,1,22,1,1,29,1
325,3,0,29.7,8,2,69.55,0
326,1,1,36,0,0,135.6333,1
327,3,0,61,0,0,6.2375,0
328,2,1,36,0,0,13,1
329,3,1,31,1,1,20.525,1
330,1,1,16,0,1,57.9792,1
331,3,1,29.7,2,0,23.25,1
332,1,0,45.5,0,0,28.5,0
333,1,0,38,0,1,153.4625,0
334,3,0,16,2,0,18,0
335,1,1,29.7,1,0,133.65,1
336,3,0,29.7,0,0,7.8958,0
337,1,0,29,1,0,66.6,0
338,1,1,41,0,0,134.5,1
339,3,0,45,0,0,8.05,1
340,1,0,45,0,0,35.5,0
341,2,0,2,1,1,26,1
342,1,1,24,3,2,263,1
343,2,0,28,0,0,13,0
344,2,0,25,0,0,13,0
345,2,0,36,0,0,13,0
346,2,1,24,0,0,13,1
347,2,1,40,0,0,13,1
348,3,1,29.7,1,0,16.1,1
349,3,0,3,1,1,15.9,1
350,3,0,42,0,0,8.6625,0
351,3,0,23,0,0,9.225,0
352,1,0,29.7,0,0,35,0
353,3,0,15,1,1,7.2292,0
354,3,0,25,1,0,17.8,0
355,3,0,29.7,0,0,7.225,0
356,3,0,28,0,0,9.5,0
357,1,1,22,0,1,55,1
358,2,1,38,0,0,13,0
359,3,1,29.7,0,0,7.8792,1
360,3,1,29.7,0,0,7.8792,1
361,3,0,40,1,4,27.9,0
362,2,0,29,1,0,27.7208,0
363,3,1,45,0,1,14.4542,0
364,3,0,35,0,0,7.05,0
365,3,0,29.7,1,0,15.5,0
366,3,0,30,0,0,7.25,0
367,1,1,60,1,0,75.25,1
368,3,1,29.7,0,0,7.2292,1
369,3,1,29.7,0,0,7.75,1
370,1,1,24,0,0,69.3,1
371,1,0,25,1,0,55.4417,1
372,3,0,18,1,0,6.4958,0
373,3,0,19,0,0,8.05,0
374,1,0,22,0,0,135.6333,0
375,3,1,3,3,1,21.075,0
376,1,1,29.7,1,0,82.1708,1
377,3,1,22,0,0,7.25,1
378,1,0,27,0,2,211.5,0
379,3,0,20,0,0,4.0125,0
380,3,0,19,0,0,7.775,0
381,1,1,42,0,0,227.525,1
382,3,1,1,0,2,15.7417,1
383,3,0,32,0,0,7.925,0
384,1,1,35,1,0,52,1
385,3,0,29.7,0,0,7.8958,0
386,2,0,18,0,0,73.5,0
387,3,0,1,5,2,46.9,0
388,2,1,36,0,0,13,1
389,3,0,29.7,0,0,7.7292,0
390,2,1,17,0,0,12,1
391,1,0,36,1,2,120,1
392,3,0,21,0,0,7.7958,1
393,3,0,28,2,0,7.925,0
394,1,1,23,1,0,113.275,1
395,3,1,24,0,2,16.7,1
396,3,0,22,0,0,7.7958,0
397,3,1,31,0,0,7.8542,0
398,2,0,46,0,0,26,0
399,2,0,23,0,0,10.5,0
400,2,1,28,0,0,12.65,1
401,3,0,39,0,0,7.925,1
402,3,0,26,0,0,8.05,0
403,3,1,21,1,0,9.825,0
404,3,0,28,1,0,15.85,0
405,3,1,20,0,0,8.6625,0
406,2,0,34,1,0,21,0
407,3,0,51,0,0,7.75,0
408,2,0,3,1,1,18.75,1
409,3,0,21,0,0,7.775,0
410,3,1,29.7,3,1,25.4667,0
411,3,0,29.7,0,0,7.8958,0
412,3,0,29.7,0,0,6.8583,0
413,1,1,33,1,0,90,1
414,2,0,29.7,0,0,0,0
415,3,0,44,0,0,7.925,1
416,3,1,29.7,0,0,8.05,0
417,2,1,34,1,1,32.5,1
418,2,1,18,0,2,13,1
419,2,0,30,0,0,13,0
420,3,1,10,0,2,24.15,0
421,3,0,29.7,0,0,7.8958,0
422,3,0,21,0,0,7.7333,0
423,3,0,29,0,0,7.875,0
424,3,1,28,1,1,14.4,0
425,3,0,18,1,1,20.2125,0
426,3,0,29.7,0,0,7.25,0
427,2,1,28,1,0,26,1
428,2,1,19,0,0,26,1
429,3,0,29.7,0,0,7.75,0
430,3,0,32,0,0,8.05,1
431,1,0,28,0,0,26.55,1
432,3,1,29.7,1,0,16.1,1
433,2,1,42,1,0,26,1
434,3,0,17,0,0,7.125,0
435,1,0,50,1,0,55.9,0
436,1,1,14,1,2,120,1
437,3,1,21,2,2,34.375,0
438,2,1,24,2,3,18.75,1
439,1,0,64,1,4,263,0
440,2,0,31,0,0,10.5,0
441,2,1,45,1,1,26.25,1
442,3,0,20,0,0,9.5,0
443,3,0,25,1,0,7.775,0
444,2,1,28,0,0,13,1
445,3,0,29.7,0,0,8.1125,1
446,1,0,4,0,2,81.8583,1
